data;imieniny
1;Antoniny, Radosława	
2;Heleny, Pawła	
3;Tycjana, Kunegundy
4;Kazimierza, Łucji	
5;Fryderyka, Wacława	
6;Róży, Wiktora	
7;Pawła, Tomasza	
8;Beaty	
9;Katarzyny, Franciszki	
10;Cypriana, Marcelego
11;Konstantego, Benedykta	
12;Bernarda, Grzegorza	
13;Bożeny, Krystyny	
14;Leona, Matyldy	
15;Ludwiki, Klemensa	
16;Izabeli, Hilarego	
17;Zbigniewa, Patryka
18;Cyryla, Edwarda	
19;Józefa, Bogdana	
20;Eufemii, Klaudii	
21;Benedykta, Lubomira	
22;Bogusława, Katarzyny	
23;Feliksa, Pelagii	
24;Marka, Gabriela
25;Marii, Wieńczysława	
26;Teodora, Emanuela	
27;Lidii, Ernesta	
28;Anieli, Sykstusa	
29;Wiktora, Eustachego
