data;imieniny
1;Bronisława, Idziego
2;Stefana, Juliana	
3;Izabeli, Szymona	
4;Rozalii, Róży	
5;Doroty, Wawrzyńca	
6;Beaty, Eugeniusza	
7;Reginy, Melchiora	
8;Marii, Adrianny
9;Piotra, Mikołaja	
10;Bernarda, Sobiesława	
11;Jacka, Piotra	
12;Marii, Gwidona	
13;Filipa, Eugenii	
14;Cypriana, Bernarda	
15;Albina, Nikodema
16;Edyty, Kornela	
17;Justyna, Franciszki	
18;Ireny, Józefa	
19;Januarego, Konstancji	
20;Filipiny, Eustachego	
21;Hipolita, Mateusza	
22;Tomasza, Maurycego
23;Tekli, Bogusława	
24;Gerarda, Teodora	
25;Aurelii, Ładysława	
26;Justyny, Cypriana	
27;Kosmy, Damiana	
28;Marka, Wacława	
29;Michała, Michaliny
30;Zofii, Hieronima
