data;imieniny
1;Danuty, Remigiusza	
2;Teofila, Dionizego	
3;Gerarda, Teresy	
4;Rozalii, Franciszka	
5;Apolinarego, Placyda	
6;Artura, Brunona
7;Marii, Marka	
8;Pelagii, Brygidy	
9;Ludwika, Dionizego	
10;Pauliny, Franciszka	
11;Emila, Aldony	
12;Eustachego, Maksymiliana	
13;Edwarda, Teofila
14;Bernarda, Fortunaty	
15;Teresy, Jadwigi	
16;Gawła, Ambrożego	
17;Wiktora, Małgorzaty	
18;Łukasza, Juliana	
19;Piotra, Ziemowita	
20;Ireny, Kleopatry
21;Urszuli, Hilarego	
22;Filipa, Kordulii	
23;Teodora, Seweryna	
24;Rafała, Marcina	
25;Kryspina, Ingi	
26;Lucjana, Ewarysta	
27;Sabiny, Iwony
28;Szymona, Tadeusza	
29;Euzebii, Narcyza	
30;Zenobii, Przemysława	
31;Alfons, Lucyna
