data;imieniny
1;Mieczysława, Mieszka	
2;Izydora, Makarego	
3;Danuty, Genowefy	
4;Anieli, Eugeniusza	
5;Edwarda, Szymona	
6;Kacpra, Melchiora Baltazara	
7;Juliana, Lucjana
8;Seweryna, Teofila	
9;Weroniki, Juliana	
10;Jana, Wilhelma	
11;Matyldy, Honoraty	
12;Benedykta, Arkadiusza	
13;Weroniki, Bogumiły	
14;Feliksa, Hilarego
15;Pawła, Izydora	
16;Marcelego, Włodzimierza	
17;Antoniego, Rościsława	
18;Piotra, Małgorzaty	
19;Henryka, Mariusza	
20;Fabiana, Sebastiana	
21;Agnieszki, Jarosława
22;Anastazego	
23;Ildefonsa, Rajmunda	
24;Felicji, Tymoteusza	
25;Pawła, Miłosza	
26;Seweryna, Pauliny	
27;Jana, Przybysława	
28;Walerego, Radomira
29;Zdzisława, Franciszka	
30;Macieja, Martyny	
31;Jana, Marceliny
