data;imieniny
1;Józefa, Filipa	
2;Anatola, Zygmunta	
3;Marii, Aleksandra	
4;Moniki, Floriana	
5;Ireny, Waldemara
6;Jana, Judyty	
7;Ludmiły, Gizeli	
8;Stanisława, Dezyderii	
9;Bożydara, Grzegorza	
10;Izydora, Antoniny	
11;Franciszka, Jakuba	
12;Dominika, Pankracego
13;Roberta, Serwacego	
14;Bonifacego, Dobiesława	
15;Zofii, Jana	
16;Andrzeja, Wieńczysława	
17;Weroniki, Sławomira	
18;Feliksa, Aleksandry	
19;Piotra, Mikołaja
20;Bernarda, Bazylego	
21;Wiktora, Tymoteusza	
22;Julii, Heleny	
23;Iwony, Dezyderego	
24;Joanny, Zuzanny	
25;Urbana, Grzegorza	
26;Filipa, Pauliny
27;Jana, Juliusza	
28;Augustyna, Jaromira	
29;Teodozji, Magdaleny	
30;Feliksa, Ferdynanda	
31;Anieli, Petroneli	

