data;imieniny
1;Piotra, Justyny	
2;Gustawa, Alfonsa	
3;Lidii, Augusta	
4;Dominika, Protazego
5;Marii, Stanisławy	
6;Sławy, Jakuba	
7;Doroty, Kajetana	
8;Emila, Cyryla	
9;Romana, Romualda	
10;Borysa, Wawrzyńca	
11;Zuzanny, Filomeny
12;Klary, Hilarego	
13;Hipolita, Diany	
14;Alfreda, Euzebiusza	
15;Marii, Napoleona	
16;Rocha, Joachima	
17;Jacka, Mirona	
18;Heleny, Bronisławy
19;Bolsława, Juliana	
20;Bernarda, Sobiesława	
21;Joanny, Franciszki	
22;Cezarego, Tymoteusza	
23;Filipa, Apolinarego	
24;Jerzego, Bartłomieja	
25;Ludwika, Luizy
26;Marii, Zefiryny	
27;Józefa, Moniki	
28;Augustyna, Patrycji	
29;Sabiny, Jana	
30;Rózy, Szczęsnego	
31;Bogdana, Rajmunda
