data;imieniny
1;Natalii, Eligiusza
2;Pauliny, Balbiny	
3;Franciszka, Ksawerego	
4;Barbary, Piotra	
5;Kryspina, Saby	
6;Mikołaja, Emiliana	
7;Marcina, Ambrożego	
8;Marii, Wirgiliusza
9;Wiesławy, Leokadii	
10;Julii, Daniela	
11;Damazego, Waldemara	
12;Adelajdy, Aleksandra	
13;Łucji, Otylii	
14;Alfreda, Izydora	
15;Celiny, Waleriana
16;Euzebiusza, Zdzisławy	
17;Olimpii, Łazarza	
18;Gracjana, Bogusława	
19;Urbana, Dariusza	
20;Bogumiła, Dominika	
21;Tomasza, Tomisława	
22;Zenona, Honoraty
23;Wiktorii, Sławomiry	
24;Adama, Ewy	
25;Eugenii, Anastazji	
26;Dionizego, Szczepana	
27;Kosmy, Damiana	
28;Cezarego, Teofila	
29;Dawida, Tomasza
30;Eugeniusza, Sabiny	
31;Sylwestra, Sebastiana
