data;imieniny
1;Haliny, Mariana	
2;Marii, Urbana	
3;Jacka, Anatola	
4;Teodora, Innocentego	
5;Karoliny, Antoniego	
6;Łucji, Dominika	
7;Cyryla, Metodego
8;Elżbiety, Prokopa	
9;Zenona, Weroniki	
10;Filipa, Amelii	
11;Olgi, Pelagii	
12;Jana, Gwalberta	
13;Ernesta, Małgorzaty	
14;Marceliny, Bonawentury
15;Henryka, Włodzimierza	
16;Marii, Benedykta	
17;Bogdana, Aleksego	
18;Kamila, Szymona	
19;Wincentego, Wodzisława	
20;Czesława, Hieronima	
21;Daniela, Andrzeja
22;Magdaleny, Bolesława	
23;Bogny, Apolinarego	
24;Kingi, Krystyny	
25;Jakuba, Krzysztofa	
26;Anny, Mirosławy	
27;Julii, Natalii	
28;Wiktora, Innocentego
29;Marty, Olafa	
30;Julity, Ludmiły	
31;Ignacego, Heleny
