data;imieniny
1;Brygidy, Ignacego	
2;Marii, Mirosława	
3;Błażeja, Hipolita	
4;Andrzeja, Weroniki
5;Agaty, Adelajdy	
6;Doroty, Tytusa	
7;Ryszarda, Romualda	
8;Jana, Piotra	
9;Cyryla, Apolonii	
10;Jacka, Scholastyki	
11;Łazarza, Marii
12;Eulalii, Modesta	
13;Grzegorza, Katarzyny	
14;Walentego, Metodego	
15;Faustyna, Józefa	
16;Danuty, Juliany	
17;Donata, Łukasza	
18;Symeona, Konstancji
19;Konrada, Arnolda	
20;Leona, Ludomiła	
21;Eleonory, Feliksa	
22;Marty, Małgorzaty	
23;Romany, Damiana	
24;Macieja, Bogusza	
25;Wiktora, Cezarego
26;Mirosława, Aleksandra	
27;Gabriela, Anastazji	
28;Teofila, Makarego	
29;Rufina, Hilarego	

