data;imieniny
1;Jakuba, Konrada	
2;Erazma, Marianny
3;Leszka, Klotyldy	
4;Karola, Franciszka	
5;Walerii, Bonifacego	
6;Pauliny, Laury	
7;Roberta, Wiesława	
8;Maksyma, Medarda	
9;Pelagii, Felicjana
10;Bogumiła, Małgorzaty	
11;Barnaby, Feliksa	
12;Jana, Onufrego	
13;Lucjana, Antoniego	
14;Walerego, Bazylego	
15;Wita, Jolanty	
16;Aliny, Justyny
17;Laury, Adolfa	
18;Marka, Elżbiety	
19;Gerwazego, Protazego	
20;Bogny, Florentyny	
21;Alicji, Alojzego	
22;Pauliny, Flawiusza	
23;Wandy, Zenona
24;Jana, Danuty	
25;Łucji, Wilhelma	
26;Jana, Pawła	
27;Marii, Władysława	
28;Leona, Ireneusza	
29;Piotra, Pawła	
30;Emilii, Lucyny
